wijk,part,order,long,lat
Erasmuspark,1,5,4.84677774071347,52.3724103938881
Erasmuspark,1,6,4.84555160676459,52.3751966425587
Erasmuspark,1,7,4.84741169112173,52.3754695559634
Erasmuspark,1,8,4.84607632662583,52.3779482447723
Erasmuspark,1,9,4.85361202226873,52.3800721141542
Centrale Markt,1,0,4.86723083628167,52.37253913669
Centrale Markt,1,1,4.86468387110664,52.3747551362346
Centrale Markt,1,2,4.86066741521221,52.385392253204
Centrale Markt,1,3,4.86940741959111,52.3855428388285
Centrale Markt,1,4,4.87066840400494,52.3825329985091
Centrale Markt,1,5,4.86781474572226,52.3820070763571
Centrale Markt,1,6,4.87016404318474,52.3758741664045
Centrale Markt,1,7,4.86723083628167,52.37253913669
Staatsliedenbuurt,1,0,4.87016404318474,52.3758741664045
Staatsliedenbuurt,1,1,4.86781474572226,52.3820070763571
